protein1,protein2,tm_score,sequence_divergence,patristic_distance,protein1_cluster,protein2_cluster,cluster_key
B4KE22_Drosophila_mojavensisREF_part1_of1,P005074010571_Drosophila_eugracilis_part1_of1,0.85839,0.7418032786885246,2.426770058,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005075007245_Drosophila_ficusphila_part1_of1,0.82115,0.7418032786885246,2.454322006,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005076010725_Drosophila_grimshawi_part1_of1,0.75919,0.7932489451476793,3.049368012,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005076010744_Drosophila_grimshawi_part1_of1,0.83817,0.743801652892562,2.560760864,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005076010745_Drosophila_grimshawi_part1_of1,0.88118,0.8040816326530612,2.8437865870000003,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005077009626_Drosophila_guanche_part1_of1,0.8849,0.7831325301204819,3.129524071,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005077011090_Drosophila_guanche_part1_of1,0.84132,0.7831325301204819,3.129524071,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005077011621_Drosophila_guanche_part1_of1,0.82452,0.7377049180327868,2.3413415310000003,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005078005510_Drosophila_hydei_part1_of1,0.87487,0.7926829268292683,2.876782144,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005078006118_Drosophila_hydei_part1_of1,0.82306,0.7448559670781894,2.5398293090000004,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005079010340_Drosophila_innubila_part1_of1,0.83937,0.763265306122449,3.149601184,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005079011844_Drosophila_innubila_part1_of2,0.86413,0.7459016393442623,2.4800138940000003,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005079011844_Drosophila_innubila_part2_of2,0.84277,0.7787610619469026,2.796263363,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005080010494_Drosophila_ironensis_part1_of1,0.86105,0.7377049180327868,2.44796866,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005080010499_Drosophila_ironensis_part1_of1,0.84781,0.7777777777777778,3.3791756050000004,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005080012110_Drosophila_ironensis_part1_of1,0.84758,0.782608695652174,3.139033743,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081003743_Drosophila_kikkawai_part1_of3,0.87789,0.7418032786885246,2.362992664,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081003743_Drosophila_kikkawai_part2_of3,0.76462,0.7815533980582524,3.424857298,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081003743_Drosophila_kikkawai_part3_of3,0.85084,0.7903225806451613,3.32106454,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081004694_Drosophila_kikkawai_part1_of1,0.84724,0.7804878048780488,3.414863558,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005082012188_Drosophila_mauritiana_part1_of1,0.85459,0.7418032786885246,2.4401066790000003,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005082012529_Drosophila_mauritiana_part1_of1,0.90533,0.782258064516129,3.22239215,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,0.85643,0.7377049180327868,2.444020595,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,0.8825,0.782258064516129,3.221717099,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005084006084_Drosophila_miranda_part1_of1,0.89363,0.8072289156626506,3.065628271,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005084006085_Drosophila_miranda_part1_of1,0.86447,0.7336065573770492,2.309493761,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,0.84155,0.7591836734693878,2.588879909,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,0.87184,0.7833333333333333,2.845181318,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005086002813_Drosophila_navojoa_part1_of1,0.84747,0.757201646090535,2.570521701,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005086003013_Drosophila_navojoa_part1_of1,0.8822,0.7795918367346939,2.808340672,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005087007713_Drosophila_novamexicana_part1_of1,0.87001,0.7714285714285715,2.909563782,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005087007760_Drosophila_novamexicana_part1_of1,0.85782,0.7295081967213115,2.509106033,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005087007761_Drosophila_novamexicana_part1_of1,0.87524,0.7673469387755102,2.7937589760000003,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005088004783_Drosophila_obscura_part1_of1,0.90955,0.7991967871485943,3.115259425,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005088004859_Drosophila_obscura_part1_of1,0.84655,0.7764227642276422,2.884357968,Cluster_4,Cluster_3,Cluster_3_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005088004876_Drosophila_obscura_part1_of1,0.88737,0.7377049180327868,2.33726138,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005089006354_Drosophila_persimilis_part1_of1,0.90373,0.8072289156626506,3.061700466,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005089006356_Drosophila_persimilis_part1_of1,0.85832,0.7336065573770492,2.309493761,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005091006300_Drosophila_rhopaloa_part1_of1,0.82913,0.7336065573770492,2.468537297,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005092009946_Drosophila_santomea_part1_of1,0.85459,0.7336065573770492,2.467798702,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005092009948_Drosophila_santomea_part1_of1,0.87696,0.7732793522267206,3.221683702,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005093013422_Drosophila_sechellia_part1_of1,0.81853,0.7377049180327868,2.444051211,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005093013423_Drosophila_sechellia_part1_of1,0.91212,0.782258064516129,3.217794562,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005095004731_Drosophila_setifemur_part1_of1,0.86356,0.7346938775510203,2.449176513,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005095011902_Drosophila_setifemur_part1_of1,0.81994,0.7706422018348624,3.291386075,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005095011903_Drosophila_setifemur_part1_of1,0.84471,0.7991803278688525,3.216167773,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005097008429_Drosophila_subobscura_part1_of2,0.89113,0.7871485943775101,3.085955944,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005097008429_Drosophila_subobscura_part2_of2,0.86477,0.7651821862348178,2.850812101,Cluster_4,Cluster_3,Cluster_3_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005097009271_Drosophila_subobscura_part1_of1,0.86479,0.7336065573770492,2.3228412030000003,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005098006594_Drosophila_subpulchrella_part1_of2,0.85798,0.736842105263158,2.477673232,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005098006594_Drosophila_subpulchrella_part2_of2,0.8846,0.7692307692307692,3.179833575,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005099002466_Drosophila_suzukii_part1_of1,0.87254,0.7651821862348178,3.199696671,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005099007453_Drosophila_suzukii_part1_of1,0.8617,0.7387755102040816,2.496510349,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005100011380_Drosophila_takahashii_part1_of2,0.84714,0.7428571428571429,2.509017968,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005100011380_Drosophila_takahashii_part2_of2,0.87282,0.7692307692307692,3.186728683,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005101009090_Drosophila_teissieri_part1_of1,0.85274,0.7336065573770492,2.455974652,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005101009092_Drosophila_teissieri_part1_of1,0.87621,0.7692307692307692,3.210075498,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005102009205_Drosophila_virilis_part1_of1,0.85438,0.7295081967213115,2.509106033,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005102009206_Drosophila_virilis_part1_of1,0.8897,0.763265306122449,2.820920441,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005103011421_Drosophila_willistoni_part1_of1,0.88367,0.7886178861788617,3.025335186,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005103011422_Drosophila_willistoni_part1_of1,0.83884,0.7295081967213115,2.407335321,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.92097,0.782258064516129,3.221717099,Cluster_4,Cluster_1,Cluster_1_Cluster_4
P005064008787_Drosophila_albomicans_part1_of2,B4KE22_Drosophila_mojavensisREF_part1_of1,0.83494,0.7903225806451613,2.803356245,Cluster_1,Cluster_4,Cluster_1_Cluster_4
P005064008787_Drosophila_albomicans_part1_of2,P005064008787_Drosophila_albomicans_part2_of2,0.79978,0.4559999999999999,0.947292936,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005064013138_Drosophila_albomicans_part1_of1,0.7827,0.6652892561983471,2.059695152,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005065001328_Drosophila_ananassae_part1_of2,0.81984,0.5181159420289856,1.144564568,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005065001328_Drosophila_ananassae_part2_of2,0.807,0.6270491803278688,1.849922912,Cluster_1,Cluster_3,Cluster_1_Cluster_3
P005064008787_Drosophila_albomicans_part1_of2,P005065003751_Drosophila_ananassae_part1_of1,0.80166,0.6707818930041152,2.024292404,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005066011807_Drosophila_arizonae_part1_of2,0.8117,0.70703125,2.163704788,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005066011807_Drosophila_arizonae_part2_of2,0.7556,0.2851063829787233,0.4057350940000001,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005067004171_Drosophila_biarmipes_part1_of1,0.79317,0.6790123456790124,2.058275707,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005067004172_Drosophila_biarmipes_part1_of1,0.80563,0.4331983805668016,1.092552861,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005068011778_Drosophila_bipectinata_part1_of2,0.78939,0.6811023622047244,2.026718809,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005068011778_Drosophila_bipectinata_part2_of2,0.79458,0.4900398406374502,1.191618124,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005070006661_Drosophila_bunnanda_part1_of1,0.78637,0.4577777777777777,1.212759142,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005070006662_Drosophila_bunnanda_part1_of1,0.79781,0.6666666666666667,1.937829484,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005071004180_Drosophila_busckii_part1_of1,0.76025,0.6666666666666667,2.015884288,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005071007432_Drosophila_busckii_part1_of1,0.7968,0.2831858407079646,0.437109956,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005072008715_Drosophila_elegans_part1_of1,0.79494,0.6748971193415638,2.040217067,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005072008716_Drosophila_elegans_part1_of1,0.80722,0.4655870445344129,1.087509311,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005073012561_Drosophila_erecta_part1_of1,0.79346,0.4331983805668016,1.079410432,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005074010565_Drosophila_eugracilis_part1_of1,0.83424,0.4412955465587044,1.092694834,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005074010571_Drosophila_eugracilis_part1_of1,0.79708,0.6748971193415638,2.003998283,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005075007245_Drosophila_ficusphila_part1_of1,0.76812,0.6831275720164609,2.031550231,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005076010725_Drosophila_grimshawi_part1_of1,0.69704,0.4514767932489452,0.8037126010000001,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005076010744_Drosophila_grimshawi_part1_of1,0.7771,0.6859504132231404,2.137989089,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005076010745_Drosophila_grimshawi_part1_of1,0.84298,0.3536585365853658,0.5981311760000001,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005077009626_Drosophila_guanche_part1_of1,0.83255,0.428,0.98753143,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005077011090_Drosophila_guanche_part1_of1,0.7897,0.428,0.98753143,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005077011621_Drosophila_guanche_part1_of1,0.77258,0.6707818930041152,1.918569756,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005078005510_Drosophila_hydei_part1_of1,0.83093,0.3048780487804878,0.485991409,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005078006118_Drosophila_hydei_part1_of1,0.7714,0.6942148760330579,2.117057534,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005079010340_Drosophila_innubila_part1_of1,0.77982,0.4715447154471545,1.007608543,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005079011844_Drosophila_innubila_part1_of2,0.80547,0.680327868852459,2.057242119,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005079011844_Drosophila_innubila_part2_of2,0.78415,0.1762114537444934,0.219769214,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005080010494_Drosophila_ironensis_part1_of1,0.79884,0.6625514403292181,2.025196885,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005080010499_Drosophila_ironensis_part1_of1,0.79024,0.4666666666666667,1.2371829639999998,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005080012110_Drosophila_ironensis_part1_of1,0.79859,0.4391304347826087,0.997041102,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005081003743_Drosophila_kikkawai_part1_of3,0.80686,0.6653061224489796,1.940220889,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005081003743_Drosophila_kikkawai_part2_of3,0.71099,0.5145631067961165,1.282864657,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005081003743_Drosophila_kikkawai_part3_of3,0.80088,0.4860557768924303,1.179071899,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005081004694_Drosophila_kikkawai_part1_of1,0.79341,0.540650406504065,1.272870917,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005082012188_Drosophila_mauritiana_part1_of1,0.7816,0.6748971193415638,2.017334904,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005082012529_Drosophila_mauritiana_part1_of1,0.84453,0.4435483870967742,1.080399509,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005083008909_Drosophila_melanogaster_part1_of1,0.79555,0.6707818930041152,2.02124882,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005083008910_Drosophila_melanogaster_part1_of1,0.81782,0.4475806451612903,1.079724458,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005084006084_Drosophila_miranda_part1_of1,0.83889,0.436,0.9236356300000002,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005084006085_Drosophila_miranda_part1_of1,0.80221,0.6625514403292181,1.886721986,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005085005288_Drosophila_mojavensis_part1_of1,0.77515,0.6900826446280992,2.166108134,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005085005289_Drosophila_mojavensis_part1_of1,0.82984,0.3142857142857143,0.454390583,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005086002813_Drosophila_navojoa_part1_of1,0.78532,0.6900826446280992,2.147749926,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005086003013_Drosophila_navojoa_part1_of1,0.84524,0.2764227642276422,0.417549937,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005087007713_Drosophila_novamexicana_part1_of1,0.81888,0.3333333333333333,0.518773047,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005087007760_Drosophila_novamexicana_part1_of1,0.79544,0.6694214876033058,2.086334258,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005087007761_Drosophila_novamexicana_part1_of1,0.82569,0.2682926829268293,0.402968241,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005088004783_Drosophila_obscura_part1_of1,0.8573,0.4342629482071712,0.973266784,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005088004859_Drosophila_obscura_part1_of1,0.79129,0.6775510204081633,1.885587757,Cluster_1,Cluster_3,Cluster_1_Cluster_3
P005064008787_Drosophila_albomicans_part1_of2,P005088004876_Drosophila_obscura_part1_of1,0.80614,0.6584362139917695,1.914489605,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005089006354_Drosophila_persimilis_part1_of1,0.85731,0.4399999999999999,0.919707825,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005089006356_Drosophila_persimilis_part1_of1,0.78523,0.6625514403292181,1.886721986,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005091006300_Drosophila_rhopaloa_part1_of1,0.77228,0.6584362139917695,2.045765522,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005092009946_Drosophila_santomea_part1_of1,0.79501,0.6707818930041152,2.045026927,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005092009948_Drosophila_santomea_part1_of1,0.81286,0.437246963562753,1.079691061,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005093013422_Drosophila_sechellia_part1_of1,0.76574,0.6707818930041152,2.021279436,Cluster_1,Cluster_2,Cluster_1_Cluster_2
