protein1,protein2,tm_score,sequence_divergence,patristic_distance
B4KE22_Drosophila_mojavensisREF_part1_of1,P005072008716_Drosophila_elegans_part1_of1,0.87303,0.7732793522267206,3.2295019519999997
B4KE22_Drosophila_mojavensisREF_part1_of1,P005073012561_Drosophila_erecta_part1_of1,0.85366,0.7813765182186234,3.2214030730000003
B4KE22_Drosophila_mojavensisREF_part1_of1,P005074010565_Drosophila_eugracilis_part1_of1,0.88778,0.7651821862348178,3.2346874750000003
B4KE22_Drosophila_mojavensisREF_part1_of1,P005074010571_Drosophila_eugracilis_part1_of1,0.85839,0.7418032786885246,2.426770058
B4KE22_Drosophila_mojavensisREF_part1_of1,P005075007245_Drosophila_ficusphila_part1_of1,0.82115,0.7418032786885246,2.454322006
B4KE22_Drosophila_mojavensisREF_part1_of1,P005076010725_Drosophila_grimshawi_part1_of1,0.75919,0.7932489451476793,3.049368012
B4KE22_Drosophila_mojavensisREF_part1_of1,P005076010744_Drosophila_grimshawi_part1_of1,0.83817,0.743801652892562,2.560760864
B4KE22_Drosophila_mojavensisREF_part1_of1,P005076010745_Drosophila_grimshawi_part1_of1,0.88118,0.8040816326530612,2.8437865870000003
B4KE22_Drosophila_mojavensisREF_part1_of1,P005077009626_Drosophila_guanche_part1_of1,0.8849,0.7831325301204819,3.129524071
B4KE22_Drosophila_mojavensisREF_part1_of1,P005077011090_Drosophila_guanche_part1_of1,0.84132,0.7831325301204819,3.129524071
B4KE22_Drosophila_mojavensisREF_part1_of1,P005077011621_Drosophila_guanche_part1_of1,0.82452,0.7377049180327868,2.3413415310000003
B4KE22_Drosophila_mojavensisREF_part1_of1,P005078005510_Drosophila_hydei_part1_of1,0.87487,0.7926829268292683,2.876782144
B4KE22_Drosophila_mojavensisREF_part1_of1,P005078006118_Drosophila_hydei_part1_of1,0.82306,0.7448559670781894,2.5398293090000004
B4KE22_Drosophila_mojavensisREF_part1_of1,P005079010340_Drosophila_innubila_part1_of1,0.83937,0.763265306122449,3.149601184
B4KE22_Drosophila_mojavensisREF_part1_of1,P005079011844_Drosophila_innubila_part1_of2,0.86413,0.7459016393442623,2.4800138940000003
B4KE22_Drosophila_mojavensisREF_part1_of1,P005079011844_Drosophila_innubila_part2_of2,0.84277,0.7787610619469026,2.796263363
B4KE22_Drosophila_mojavensisREF_part1_of1,P005080010494_Drosophila_ironensis_part1_of1,0.86105,0.7377049180327868,2.44796866
B4KE22_Drosophila_mojavensisREF_part1_of1,P005080010499_Drosophila_ironensis_part1_of1,0.84781,0.7777777777777778,3.3791756050000004
B4KE22_Drosophila_mojavensisREF_part1_of1,P005080012110_Drosophila_ironensis_part1_of1,0.84758,0.782608695652174,3.139033743
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081003743_Drosophila_kikkawai_part1_of3,0.87789,0.7418032786885246,2.362992664
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081003743_Drosophila_kikkawai_part2_of3,0.76462,0.7815533980582524,3.424857298
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081003743_Drosophila_kikkawai_part3_of3,0.85084,0.7903225806451613,3.32106454
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081004694_Drosophila_kikkawai_part1_of1,0.84724,0.7804878048780488,3.414863558
B4KE22_Drosophila_mojavensisREF_part1_of1,P005082012188_Drosophila_mauritiana_part1_of1,0.85459,0.7418032786885246,2.4401066790000003
B4KE22_Drosophila_mojavensisREF_part1_of1,P005082012529_Drosophila_mauritiana_part1_of1,0.90533,0.782258064516129,3.22239215
B4KE22_Drosophila_mojavensisREF_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,0.85643,0.7377049180327868,2.444020595
B4KE22_Drosophila_mojavensisREF_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,0.8825,0.782258064516129,3.221717099
B4KE22_Drosophila_mojavensisREF_part1_of1,P005084006084_Drosophila_miranda_part1_of1,0.89363,0.8072289156626506,3.0656282709999996
B4KE22_Drosophila_mojavensisREF_part1_of1,P005084006085_Drosophila_miranda_part1_of1,0.86447,0.7336065573770492,2.309493761
B4KE22_Drosophila_mojavensisREF_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,0.84155,0.7591836734693878,2.588879909
B4KE22_Drosophila_mojavensisREF_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,0.87184,0.7833333333333333,2.845181318
B4KE22_Drosophila_mojavensisREF_part1_of1,P005086002813_Drosophila_navojoa_part1_of1,0.84747,0.757201646090535,2.570521701
B4KE22_Drosophila_mojavensisREF_part1_of1,P005086003013_Drosophila_navojoa_part1_of1,0.8822,0.7795918367346939,2.808340672
B4KE22_Drosophila_mojavensisREF_part1_of1,P005087007713_Drosophila_novamexicana_part1_of1,0.87001,0.7714285714285715,2.909563782
B4KE22_Drosophila_mojavensisREF_part1_of1,P005087007760_Drosophila_novamexicana_part1_of1,0.85782,0.7295081967213115,2.509106033
B4KE22_Drosophila_mojavensisREF_part1_of1,P005087007761_Drosophila_novamexicana_part1_of1,0.87524,0.7673469387755102,2.7937589760000003
B4KE22_Drosophila_mojavensisREF_part1_of1,P005088004783_Drosophila_obscura_part1_of1,0.90955,0.7991967871485943,3.1152594249999996
B4KE22_Drosophila_mojavensisREF_part1_of1,P005088004859_Drosophila_obscura_part1_of1,0.84655,0.7764227642276422,2.8843579679999998
B4KE22_Drosophila_mojavensisREF_part1_of1,P005088004876_Drosophila_obscura_part1_of1,0.88737,0.7377049180327868,2.33726138
B4KE22_Drosophila_mojavensisREF_part1_of1,P005089006354_Drosophila_persimilis_part1_of1,0.90373,0.8072289156626506,3.0617004659999996
B4KE22_Drosophila_mojavensisREF_part1_of1,P005089006356_Drosophila_persimilis_part1_of1,0.85832,0.7336065573770492,2.309493761
B4KE22_Drosophila_mojavensisREF_part1_of1,P005091006300_Drosophila_rhopaloa_part1_of1,0.82913,0.7336065573770492,2.468537297
B4KE22_Drosophila_mojavensisREF_part1_of1,P005092009946_Drosophila_santomea_part1_of1,0.85459,0.7336065573770492,2.467798702
B4KE22_Drosophila_mojavensisREF_part1_of1,P005092009948_Drosophila_santomea_part1_of1,0.87696,0.7732793522267206,3.221683702
B4KE22_Drosophila_mojavensisREF_part1_of1,P005093013422_Drosophila_sechellia_part1_of1,0.81853,0.7377049180327868,2.444051211
B4KE22_Drosophila_mojavensisREF_part1_of1,P005093013423_Drosophila_sechellia_part1_of1,0.91212,0.782258064516129,3.217794562
B4KE22_Drosophila_mojavensisREF_part1_of1,P005095004731_Drosophila_setifemur_part1_of1,0.86356,0.7346938775510203,2.449176513
B4KE22_Drosophila_mojavensisREF_part1_of1,P005095011902_Drosophila_setifemur_part1_of1,0.81994,0.7706422018348624,3.291386075
B4KE22_Drosophila_mojavensisREF_part1_of1,P005095011903_Drosophila_setifemur_part1_of1,0.84471,0.7991803278688525,3.216167773
B4KE22_Drosophila_mojavensisREF_part1_of1,P005097008429_Drosophila_subobscura_part1_of2,0.89113,0.7871485943775101,3.085955944
B4KE22_Drosophila_mojavensisREF_part1_of1,P005097008429_Drosophila_subobscura_part2_of2,0.86477,0.7651821862348178,2.850812101
B4KE22_Drosophila_mojavensisREF_part1_of1,P005097009271_Drosophila_subobscura_part1_of1,0.86479,0.7336065573770492,2.3228412030000003
B4KE22_Drosophila_mojavensisREF_part1_of1,P005098006594_Drosophila_subpulchrella_part1_of2,0.85798,0.736842105263158,2.477673232
B4KE22_Drosophila_mojavensisREF_part1_of1,P005098006594_Drosophila_subpulchrella_part2_of2,0.8846,0.7692307692307692,3.179833575
B4KE22_Drosophila_mojavensisREF_part1_of1,P005099002466_Drosophila_suzukii_part1_of1,0.87254,0.7651821862348178,3.199696671
B4KE22_Drosophila_mojavensisREF_part1_of1,P005099007453_Drosophila_suzukii_part1_of1,0.8617,0.7387755102040816,2.4965103490000002
B4KE22_Drosophila_mojavensisREF_part1_of1,P005100011380_Drosophila_takahashii_part1_of2,0.84714,0.7428571428571429,2.509017968
B4KE22_Drosophila_mojavensisREF_part1_of1,P005100011380_Drosophila_takahashii_part2_of2,0.87282,0.7692307692307692,3.186728683
B4KE22_Drosophila_mojavensisREF_part1_of1,P005101009090_Drosophila_teissieri_part1_of1,0.85274,0.7336065573770492,2.455974652
B4KE22_Drosophila_mojavensisREF_part1_of1,P005101009092_Drosophila_teissieri_part1_of1,0.87621,0.7692307692307692,3.210075498
B4KE22_Drosophila_mojavensisREF_part1_of1,P005102009205_Drosophila_virilis_part1_of1,0.85438,0.7295081967213115,2.509106033
B4KE22_Drosophila_mojavensisREF_part1_of1,P005102009206_Drosophila_virilis_part1_of1,0.8897,0.763265306122449,2.820920441
B4KE22_Drosophila_mojavensisREF_part1_of1,P005103011421_Drosophila_willistoni_part1_of1,0.88367,0.7886178861788617,3.025335186
B4KE22_Drosophila_mojavensisREF_part1_of1,P005103011422_Drosophila_willistoni_part1_of1,0.83884,0.7295081967213115,2.407335321
B4KE22_Drosophila_mojavensisREF_part1_of1,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.92097,0.782258064516129,3.221717099
P005064008787_Drosophila_albomicans_part1_of2,B4KE22_Drosophila_mojavensisREF_part1_of1,0.83494,0.7903225806451613,2.803356245
P005064008787_Drosophila_albomicans_part1_of2,P005064008787_Drosophila_albomicans_part2_of2,0.79978,0.45599999999999996,0.947292936
P005064008787_Drosophila_albomicans_part1_of2,P005064013138_Drosophila_albomicans_part1_of1,0.7827,0.6652892561983471,2.0596951519999998
P005064008787_Drosophila_albomicans_part1_of2,P005065001328_Drosophila_ananassae_part1_of2,0.81984,0.5181159420289856,1.144564568
P005064008787_Drosophila_albomicans_part1_of2,P005065001328_Drosophila_ananassae_part2_of2,0.807,0.6270491803278688,1.8499229119999998
P005064008787_Drosophila_albomicans_part1_of2,P005065003751_Drosophila_ananassae_part1_of1,0.80166,0.6707818930041152,2.024292404
P005064008787_Drosophila_albomicans_part1_of2,P005066011807_Drosophila_arizonae_part1_of2,0.8117,0.70703125,2.163704788
P005064008787_Drosophila_albomicans_part1_of2,P005066011807_Drosophila_arizonae_part2_of2,0.7556,0.28510638297872337,0.4057350940000001
P005064008787_Drosophila_albomicans_part1_of2,P005067004171_Drosophila_biarmipes_part1_of1,0.79317,0.6790123456790124,2.058275707
P005064008787_Drosophila_albomicans_part1_of2,P005067004172_Drosophila_biarmipes_part1_of1,0.80563,0.4331983805668016,1.092552861
P005064008787_Drosophila_albomicans_part1_of2,P005068011778_Drosophila_bipectinata_part1_of2,0.78939,0.6811023622047244,2.026718809
P005064008787_Drosophila_albomicans_part1_of2,P005068011778_Drosophila_bipectinata_part2_of2,0.79458,0.4900398406374502,1.191618124
P005064008787_Drosophila_albomicans_part1_of2,P005070006661_Drosophila_bunnanda_part1_of1,0.78637,0.45777777777777773,1.212759142
P005064008787_Drosophila_albomicans_part1_of2,P005070006662_Drosophila_bunnanda_part1_of1,0.79781,0.6666666666666667,1.9378294839999999
P005064008787_Drosophila_albomicans_part1_of2,P005071004180_Drosophila_busckii_part1_of1,0.76025,0.6666666666666667,2.015884288
P005064008787_Drosophila_albomicans_part1_of2,P005071007432_Drosophila_busckii_part1_of1,0.7968,0.2831858407079646,0.437109956
P005064008787_Drosophila_albomicans_part1_of2,P005072008715_Drosophila_elegans_part1_of1,0.79494,0.6748971193415638,2.040217067
P005064008787_Drosophila_albomicans_part1_of2,P005072008716_Drosophila_elegans_part1_of1,0.80722,0.4655870445344129,1.087509311
P005064008787_Drosophila_albomicans_part1_of2,P005073012561_Drosophila_erecta_part1_of1,0.79346,0.4331983805668016,1.079410432
P005064008787_Drosophila_albomicans_part1_of2,P005074010565_Drosophila_eugracilis_part1_of1,0.83424,0.4412955465587044,1.092694834
P005064008787_Drosophila_albomicans_part1_of2,P005074010571_Drosophila_eugracilis_part1_of1,0.79708,0.6748971193415638,2.0039982829999996
P005064008787_Drosophila_albomicans_part1_of2,P005075007245_Drosophila_ficusphila_part1_of1,0.76812,0.6831275720164609,2.0315502309999998
P005064008787_Drosophila_albomicans_part1_of2,P005076010725_Drosophila_grimshawi_part1_of1,0.69704,0.4514767932489452,0.8037126010000001
P005064008787_Drosophila_albomicans_part1_of2,P005076010744_Drosophila_grimshawi_part1_of1,0.7771,0.6859504132231404,2.137989089
P005064008787_Drosophila_albomicans_part1_of2,P005076010745_Drosophila_grimshawi_part1_of1,0.84298,0.35365853658536583,0.5981311760000001
P005064008787_Drosophila_albomicans_part1_of2,P005077009626_Drosophila_guanche_part1_of1,0.83255,0.42800000000000005,0.98753143
P005064008787_Drosophila_albomicans_part1_of2,P005077011090_Drosophila_guanche_part1_of1,0.7897,0.42800000000000005,0.98753143
P005064008787_Drosophila_albomicans_part1_of2,P005077011621_Drosophila_guanche_part1_of1,0.77258,0.6707818930041152,1.918569756
P005064008787_Drosophila_albomicans_part1_of2,P005078005510_Drosophila_hydei_part1_of1,0.83093,0.30487804878048785,0.48599140900000004
P005064008787_Drosophila_albomicans_part1_of2,P005078006118_Drosophila_hydei_part1_of1,0.7714,0.6942148760330579,2.117057534
P005064008787_Drosophila_albomicans_part1_of2,P005079010340_Drosophila_innubila_part1_of1,0.77982,0.4715447154471545,1.007608543
P005064008787_Drosophila_albomicans_part1_of2,P005079011844_Drosophila_innubila_part1_of2,0.80547,0.680327868852459,2.057242119
P005064008787_Drosophila_albomicans_part1_of2,P005079011844_Drosophila_innubila_part2_of2,0.78415,0.17621145374449343,0.219769214
P005064008787_Drosophila_albomicans_part1_of2,P005080010494_Drosophila_ironensis_part1_of1,0.79884,0.6625514403292181,2.0251968849999997
P005064008787_Drosophila_albomicans_part1_of2,P005080010499_Drosophila_ironensis_part1_of1,0.79024,0.4666666666666667,1.2371829639999998
P005064008787_Drosophila_albomicans_part1_of2,P005080012110_Drosophila_ironensis_part1_of1,0.79859,0.4391304347826087,0.9970411020000001
P005064008787_Drosophila_albomicans_part1_of2,P005081003743_Drosophila_kikkawai_part1_of3,0.80686,0.6653061224489796,1.940220889
P005064008787_Drosophila_albomicans_part1_of2,P005081003743_Drosophila_kikkawai_part2_of3,0.71099,0.5145631067961165,1.282864657
P005064008787_Drosophila_albomicans_part1_of2,P005081003743_Drosophila_kikkawai_part3_of3,0.80088,0.4860557768924303,1.179071899
P005064008787_Drosophila_albomicans_part1_of2,P005081004694_Drosophila_kikkawai_part1_of1,0.79341,0.540650406504065,1.2728709169999999
P005064008787_Drosophila_albomicans_part1_of2,P005082012188_Drosophila_mauritiana_part1_of1,0.7816,0.6748971193415638,2.017334904
P005064008787_Drosophila_albomicans_part1_of2,P005082012529_Drosophila_mauritiana_part1_of1,0.84453,0.44354838709677424,1.080399509
P005064008787_Drosophila_albomicans_part1_of2,P005083008909_Drosophila_melanogaster_part1_of1,0.79555,0.6707818930041152,2.02124882
P005064008787_Drosophila_albomicans_part1_of2,P005083008910_Drosophila_melanogaster_part1_of1,0.81782,0.44758064516129037,1.079724458
P005064008787_Drosophila_albomicans_part1_of2,P005084006084_Drosophila_miranda_part1_of1,0.83889,0.43600000000000005,0.9236356300000002
P005064008787_Drosophila_albomicans_part1_of2,P005084006085_Drosophila_miranda_part1_of1,0.80221,0.6625514403292181,1.886721986
P005064008787_Drosophila_albomicans_part1_of2,P005085005288_Drosophila_mojavensis_part1_of1,0.77515,0.6900826446280992,2.166108134
P005064008787_Drosophila_albomicans_part1_of2,P005085005289_Drosophila_mojavensis_part1_of1,0.82984,0.3142857142857143,0.454390583
P005064008787_Drosophila_albomicans_part1_of2,P005086002813_Drosophila_navojoa_part1_of1,0.78532,0.6900826446280992,2.147749926
P005064008787_Drosophila_albomicans_part1_of2,P005086003013_Drosophila_navojoa_part1_of1,0.84524,0.2764227642276422,0.41754993700000004
P005064008787_Drosophila_albomicans_part1_of2,P005087007713_Drosophila_novamexicana_part1_of1,0.81888,0.33333333333333337,0.518773047
P005064008787_Drosophila_albomicans_part1_of2,P005087007760_Drosophila_novamexicana_part1_of1,0.79544,0.6694214876033058,2.086334258
P005064008787_Drosophila_albomicans_part1_of2,P005087007761_Drosophila_novamexicana_part1_of1,0.82569,0.2682926829268293,0.40296824100000006
P005064008787_Drosophila_albomicans_part1_of2,P005088004783_Drosophila_obscura_part1_of1,0.8573,0.43426294820717126,0.973266784
P005064008787_Drosophila_albomicans_part1_of2,P005088004859_Drosophila_obscura_part1_of1,0.79129,0.6775510204081633,1.8855877570000001
P005064008787_Drosophila_albomicans_part1_of2,P005088004876_Drosophila_obscura_part1_of1,0.80614,0.6584362139917695,1.914489605
P005064008787_Drosophila_albomicans_part1_of2,P005089006354_Drosophila_persimilis_part1_of1,0.85731,0.43999999999999995,0.9197078250000001
P005064008787_Drosophila_albomicans_part1_of2,P005089006356_Drosophila_persimilis_part1_of1,0.78523,0.6625514403292181,1.886721986
P005064008787_Drosophila_albomicans_part1_of2,P005091006300_Drosophila_rhopaloa_part1_of1,0.77228,0.6584362139917695,2.045765522
P005064008787_Drosophila_albomicans_part1_of2,P005092009946_Drosophila_santomea_part1_of1,0.79501,0.6707818930041152,2.045026927
P005064008787_Drosophila_albomicans_part1_of2,P005092009948_Drosophila_santomea_part1_of1,0.81286,0.43724696356275305,1.079691061
P005064008787_Drosophila_albomicans_part1_of2,P005093013422_Drosophila_sechellia_part1_of1,0.76574,0.6707818930041152,2.021279436
P005064008787_Drosophila_albomicans_part1_of2,P005093013423_Drosophila_sechellia_part1_of1,0.85439,0.44758064516129037,1.075801921
P005064008787_Drosophila_albomicans_part1_of2,P005095004731_Drosophila_setifemur_part1_of1,0.79956,0.6680327868852459,2.026404738
P005064008787_Drosophila_albomicans_part1_of2,P005095011902_Drosophila_setifemur_part1_of1,0.75195,0.47706422018348627,1.1493934339999998
P005064008787_Drosophila_albomicans_part1_of2,P005095011903_Drosophila_setifemur_part1_of1,0.79083,0.49590163934426235,1.074175132
P005064008787_Drosophila_albomicans_part1_of2,P005097008429_Drosophila_subobscura_part1_of2,0.83275,0.42692307692307696,0.9439633029999999
P005064008787_Drosophila_albomicans_part1_of2,P005097008429_Drosophila_subobscura_part2_of2,0.81039,0.6544715447154472,1.8520418900000002
P005064008787_Drosophila_albomicans_part1_of2,P005097009271_Drosophila_subobscura_part1_of1,0.80179,0.6666666666666667,1.900069428
P005064008787_Drosophila_albomicans_part1_of2,P005098006594_Drosophila_subpulchrella_part1_of2,0.80079,0.6884615384615385,2.0549014569999997
P005064008787_Drosophila_albomicans_part1_of2,P005098006594_Drosophila_subpulchrella_part2_of2,0.81466,0.4462151394422311,1.0378409339999999
P005064008787_Drosophila_albomicans_part1_of2,P005099002466_Drosophila_suzukii_part1_of1,0.80577,0.4412955465587044,1.05770403
P005064008787_Drosophila_albomicans_part1_of2,P005099007453_Drosophila_suzukii_part1_of1,0.79918,0.6844262295081966,2.073738574
P005064008787_Drosophila_albomicans_part1_of2,P005100011380_Drosophila_takahashii_part1_of2,0.80094,0.689922480620155,2.086246193
P005064008787_Drosophila_albomicans_part1_of2,P005100011380_Drosophila_takahashii_part2_of2,0.81146,0.4621513944223108,1.044736042
P005064008787_Drosophila_albomicans_part1_of2,P005101009090_Drosophila_teissieri_part1_of1,0.7943,0.6707818930041152,2.033202877
P005064008787_Drosophila_albomicans_part1_of2,P005101009092_Drosophila_teissieri_part1_of1,0.81012,0.44534412955465585,1.0680828569999998
P005064008787_Drosophila_albomicans_part1_of2,P005102009205_Drosophila_virilis_part1_of1,0.78522,0.6694214876033058,2.086334258
P005064008787_Drosophila_albomicans_part1_of2,P005102009206_Drosophila_virilis_part1_of1,0.85172,0.2682926829268293,0.430129706
P005064008787_Drosophila_albomicans_part1_of2,P005103011421_Drosophila_willistoni_part1_of1,0.83682,0.3724696356275303,0.634544451
P005064008787_Drosophila_albomicans_part1_of2,P005103011422_Drosophila_willistoni_part1_of1,0.77889,0.6666666666666667,1.984563546
P005064008787_Drosophila_albomicans_part1_of2,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.85785,0.44758064516129037,1.079724458
P005064008787_Drosophila_albomicans_part2_of2,B4KE22_Drosophila_mojavensisREF_part1_of1,0.85844,0.8,3.089285577
P005064008787_Drosophila_albomicans_part2_of2,P005064008787_Drosophila_albomicans_part1_of2,0.89224,0.45599999999999996,0.947292936
P005064008787_Drosophila_albomicans_part2_of2,P005064013138_Drosophila_albomicans_part1_of1,0.87042,0.7053941908713692,2.345624484
P005064008787_Drosophila_albomicans_part2_of2,P005065001328_Drosophila_ananassae_part1_of2,0.9071,0.5121951219512195,1.3587038000000002
P005064008787_Drosophila_albomicans_part2_of2,P005065001328_Drosophila_ananassae_part2_of2,0.89355,0.6776859504132231,2.135852244
P005064008787_Drosophila_albomicans_part2_of2,P005065003751_Drosophila_ananassae_part1_of1,0.88247,0.7272727272727273,2.310221736
P005064008787_Drosophila_albomicans_part2_of2,P005066011807_Drosophila_arizonae_part1_of2,0.87527,0.7178423236514523,2.44963412
P005064008787_Drosophila_albomicans_part2_of2,P005066011807_Drosophila_arizonae_part2_of2,0.84359,0.4553191489361702,0.9404625200000001
P005064008787_Drosophila_albomicans_part2_of2,P005067004171_Drosophila_biarmipes_part1_of1,0.88659,0.7396694214876033,2.3442050389999998
P005064008787_Drosophila_albomicans_part2_of2,P005067004172_Drosophila_biarmipes_part1_of1,0.87478,0.47560975609756095,1.306692093
P005064008787_Drosophila_albomicans_part2_of2,P005068011778_Drosophila_bipectinata_part1_of2,0.88044,0.7272727272727273,2.312648141
P005064008787_Drosophila_albomicans_part2_of2,P005068011778_Drosophila_bipectinata_part2_of2,0.88238,0.548,1.405757356
P005064008787_Drosophila_albomicans_part2_of2,P005070006661_Drosophila_bunnanda_part1_of1,0.86785,0.5178571428571428,1.426898374
P005064008787_Drosophila_albomicans_part2_of2,P005070006662_Drosophila_bunnanda_part1_of1,0.89724,0.7272727272727273,2.2237588159999997
P005064008787_Drosophila_albomicans_part2_of2,P005071004180_Drosophila_busckii_part1_of1,0.84489,0.7098214285714286,2.30181362
P005064008787_Drosophila_albomicans_part2_of2,P005071007432_Drosophila_busckii_part1_of1,0.86154,0.48,1.029955258
P005064008787_Drosophila_albomicans_part2_of2,P005072008715_Drosophila_elegans_part1_of1,0.88686,0.7396694214876033,2.3261463989999998
P005064008787_Drosophila_albomicans_part2_of2,P005072008716_Drosophila_elegans_part1_of1,0.88956,0.4796747967479674,1.3016485430000002
P005064008787_Drosophila_albomicans_part2_of2,P005073012561_Drosophila_erecta_part1_of1,0.86667,0.5121951219512195,1.2935496640000002
P005064008787_Drosophila_albomicans_part2_of2,P005074010565_Drosophila_eugracilis_part1_of1,0.88296,0.5,1.306834066
P005064008787_Drosophila_albomicans_part2_of2,P005074010571_Drosophila_eugracilis_part1_of1,0.88416,0.731404958677686,2.2899276149999994
P005064008787_Drosophila_albomicans_part2_of2,P005075007245_Drosophila_ficusphila_part1_of1,0.86934,0.7396694214876033,2.3174795629999996
P005064008787_Drosophila_albomicans_part2_of2,P005076010725_Drosophila_grimshawi_part1_of1,0.8127,0.5527426160337553,1.193304703
P005064008787_Drosophila_albomicans_part2_of2,P005076010744_Drosophila_grimshawi_part1_of1,0.87583,0.7261410788381742,2.4239184209999998
P005064008787_Drosophila_albomicans_part2_of2,P005076010745_Drosophila_grimshawi_part1_of1,0.89307,0.49186991869918695,0.987723278
P005064008787_Drosophila_albomicans_part2_of2,P005077009626_Drosophila_guanche_part1_of1,0.89887,0.5365853658536586,1.201670662
P005064008787_Drosophila_albomicans_part2_of2,P005077011090_Drosophila_guanche_part1_of1,0.88751,0.5365853658536586,1.201670662
P005064008787_Drosophila_albomicans_part2_of2,P005077011621_Drosophila_guanche_part1_of1,0.8706,0.7107438016528926,2.2044990879999995
P005064008787_Drosophila_albomicans_part2_of2,P005078005510_Drosophila_hydei_part1_of1,0.90792,0.4512195121951219,1.020718835
P005064008787_Drosophila_albomicans_part2_of2,P005078006118_Drosophila_hydei_part1_of1,0.86877,0.7178423236514523,2.402986866
P005064008787_Drosophila_albomicans_part2_of2,P005079010340_Drosophila_innubila_part1_of1,0.88391,0.4390243902439024,0.664906711
P005064008787_Drosophila_albomicans_part2_of2,P005079011844_Drosophila_innubila_part1_of2,0.88296,0.7344398340248963,2.343171451
P005064008787_Drosophila_albomicans_part2_of2,P005079011844_Drosophila_innubila_part2_of2,0.86359,0.44493392070484583,0.940200054
P005064008787_Drosophila_albomicans_part2_of2,P005080010494_Drosophila_ironensis_part1_of1,0.89358,0.71900826446281,2.3111262169999995
P005064008787_Drosophila_albomicans_part2_of2,P005080010499_Drosophila_ironensis_part1_of1,0.8665,0.5089285714285714,1.451322196
P005064008787_Drosophila_albomicans_part2_of2,P005080012110_Drosophila_ironensis_part1_of1,0.88626,0.5021834061135371,1.211180334
P005064008787_Drosophila_albomicans_part2_of2,P005081003743_Drosophila_kikkawai_part1_of3,0.88186,0.7272727272727273,2.2261502209999997
P005064008787_Drosophila_albomicans_part2_of2,P005081003743_Drosophila_kikkawai_part2_of3,0.801,0.5533980582524272,1.4970038890000001
P005064008787_Drosophila_albomicans_part2_of2,P005081003743_Drosophila_kikkawai_part3_of3,0.88118,0.5403225806451613,1.3932111310000002
P005064008787_Drosophila_albomicans_part2_of2,P005081004694_Drosophila_kikkawai_part1_of1,0.88336,0.5591836734693878,1.487010149
P005064008787_Drosophila_albomicans_part2_of2,P005082012188_Drosophila_mauritiana_part1_of1,0.88562,0.7231404958677685,2.303264236
