protein1,protein2,protein1_cluster,protein2_cluster,cluster_key,sequence_divergence,patristic_distance,tm_score
P005076010725_Drosophila_grimshawi_part1_of1,P005076010744_Drosophila_grimshawi_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6896551724137931,2.384000856,0.82425
P005076010744_Drosophila_grimshawi_part1_of1,P005076010725_Drosophila_grimshawi_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6896551724137931,2.384000856,0.79073
P005076010744_Drosophila_grimshawi_part1_of1,P005076010745_Drosophila_grimshawi_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6929460580912863,2.178419431,0.86892
P005076010745_Drosophila_grimshawi_part1_of1,P005076010744_Drosophila_grimshawi_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6929460580912863,2.178419431,0.87562
P005077009626_Drosophila_guanche_part1_of1,P005077011621_Drosophila_guanche_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7037037037037037,2.244737582,0.85986
P005077011090_Drosophila_guanche_part1_of1,P005077011621_Drosophila_guanche_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7037037037037037,2.244737582,0.78797
P005077011621_Drosophila_guanche_part1_of1,P005077009626_Drosophila_guanche_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7037037037037037,2.244737582,0.86309
P005077011621_Drosophila_guanche_part1_of1,P005077011090_Drosophila_guanche_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7037037037037037,2.244737582,0.85
P005078005510_Drosophila_hydei_part1_of1,P005078006118_Drosophila_hydei_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.691358024691358,2.1904834330000003,0.8801
P005078006118_Drosophila_hydei_part1_of1,P005078005510_Drosophila_hydei_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.691358024691358,2.1904834330000003,0.86367
P005080010494_Drosophila_ironensis_part1_of1,P005080010499_Drosophila_ironensis_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7111111111111111,2.601016245,0.86939
P005080010494_Drosophila_ironensis_part1_of1,P005080012110_Drosophila_ironensis_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.691304347826087,2.360874383,0.88068
P005080010499_Drosophila_ironensis_part1_of1,P005080010494_Drosophila_ironensis_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7111111111111111,2.601016245,0.95883
P005080012110_Drosophila_ironensis_part1_of1,P005080010494_Drosophila_ironensis_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.691304347826087,2.360874383,0.95058
P005082012188_Drosophila_mauritiana_part1_of1,P005082012529_Drosophila_mauritiana_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7078189300411523,2.436370809,0.88062
P005082012529_Drosophila_mauritiana_part1_of1,P005082012188_Drosophila_mauritiana_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7078189300411523,2.436370809,0.88393
P005083008909_Drosophila_melanogaster_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7037037037037037,2.439609674,0.87708
P005083008910_Drosophila_melanogaster_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7037037037037037,2.439609674,0.88046
P005084006084_Drosophila_miranda_part1_of1,P005084006085_Drosophila_miranda_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7119341563786008,2.148994012,0.89864
P005084006085_Drosophila_miranda_part1_of1,P005084006084_Drosophila_miranda_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7119341563786008,2.148994012,0.90209
P005085005288_Drosophila_mojavensis_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.673728813559322,2.207933207,0.80297
P005085005289_Drosophila_mojavensis_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.673728813559322,2.207933207,0.83369
P005086002813_Drosophila_navojoa_part1_of1,P005086003013_Drosophila_navojoa_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6680497925311204,2.152734353,0.86309
P005086003013_Drosophila_navojoa_part1_of1,P005086002813_Drosophila_navojoa_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6680497925311204,2.152734353,0.88637
P005087007713_Drosophila_novamexicana_part1_of1,P005087007760_Drosophila_novamexicana_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6804979253112033,2.192541795,0.89245
P005087007760_Drosophila_novamexicana_part1_of1,P005087007713_Drosophila_novamexicana_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6804979253112033,2.192541795,0.87533
P005087007760_Drosophila_novamexicana_part1_of1,P005087007761_Drosophila_novamexicana_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6556016597510373,2.076736989,0.87345
P005087007761_Drosophila_novamexicana_part1_of1,P005087007760_Drosophila_novamexicana_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6556016597510373,2.076736989,0.89047
P005088004783_Drosophila_obscura_part1_of1,P005088004876_Drosophila_obscura_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6995884773662551,2.2263927850000003,0.89076
P005088004876_Drosophila_obscura_part1_of1,P005088004783_Drosophila_obscura_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6995884773662551,2.2263927850000003,0.89749
P005089006354_Drosophila_persimilis_part1_of1,P005089006356_Drosophila_persimilis_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7119341563786008,2.145066207,0.87516
P005089006356_Drosophila_persimilis_part1_of1,P005089006354_Drosophila_persimilis_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7119341563786008,2.145066207,0.87846
P005092009946_Drosophila_santomea_part1_of1,P005092009948_Drosophila_santomea_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7037037037037037,2.463354384,0.86657
P005092009948_Drosophila_santomea_part1_of1,P005092009946_Drosophila_santomea_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7037037037037037,2.463354384,0.87323
P005093013422_Drosophila_sechellia_part1_of1,P005093013423_Drosophila_sechellia_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7037037037037037,2.435717753,0.83984
P005093013423_Drosophila_sechellia_part1_of1,P005093013422_Drosophila_sechellia_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7037037037037037,2.435717753,0.84297
P005095004731_Drosophila_setifemur_part1_of1,P005095011902_Drosophila_setifemur_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7110091743119267,2.514434568,0.82684
P005095004731_Drosophila_setifemur_part1_of1,P005095011903_Drosophila_setifemur_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7095435684647302,2.4392162660000003,0.86567
P005095011902_Drosophila_setifemur_part1_of1,P005095004731_Drosophila_setifemur_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7110091743119267,2.514434568,0.94137
P005095011903_Drosophila_setifemur_part1_of1,P005095004731_Drosophila_setifemur_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7095435684647302,2.4392162660000003,0.88613
P005099002466_Drosophila_suzukii_part1_of1,P005099007453_Drosophila_suzukii_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7172131147540983,2.470079,0.89251
P005099007453_Drosophila_suzukii_part1_of1,P005099002466_Drosophila_suzukii_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7172131147540983,2.470079,0.88228
P005101009090_Drosophila_teissieri_part1_of1,P005101009092_Drosophila_teissieri_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.691358024691358,2.43992213,0.86865
P005101009092_Drosophila_teissieri_part1_of1,P005101009090_Drosophila_teissieri_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.691358024691358,2.43992213,0.87534
P005102009205_Drosophila_virilis_part1_of1,P005102009206_Drosophila_virilis_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6639004149377593,2.103898454,0.87072
P005102009206_Drosophila_virilis_part1_of1,P005102009205_Drosophila_virilis_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6639004149377593,2.103898454,0.88767
P005103011421_Drosophila_willistoni_part1_of1,P005103011422_Drosophila_willistoni_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6762295081967213,2.206542487,0.87395
P005103011422_Drosophila_willistoni_part1_of1,P005103011421_Drosophila_willistoni_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6762295081967213,2.206542487,0.87065
